dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.923,0.923,0.923,0.958,0.885,0.92
SEIR01_sl250_mr025_nv10_1,0.564,0.689,0.62,0.604,0.644,0.624
SEIR01_sl250_mr025_nv10_10,0.722,0.765,0.743,0.722,0.765,0.743
SEIR01_sl250_mr025_nv10_11,0.65,0.812,0.722,0.684,0.812,0.743
SEIR01_sl250_mr025_nv10_12,0.771,0.86,0.813,0.8,0.837,0.818
SEIR01_sl250_mr025_nv10_13,0.429,0.5,0.462,0.571,0.667,0.615
SEIR01_sl250_mr025_nv10_14,0.538,0.609,0.571,0.625,0.543,0.581
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,0.6,0.857,0.706
SEIR01_sl250_mr025_nv10_16,0.476,0.652,0.55,0.475,0.63,0.542
SEIR01_sl250_mr025_nv10_17,0.308,0.5,0.381,0.417,0.625,0.5
SEIR01_sl250_mr025_nv10_18,0.667,0.812,0.732,0.694,0.781,0.735
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.625,0.714,0.667,0.714,0.714,0.714
SEIR01_sl250_mr025_nv10_20,0.6,0.667,0.632,0.619,0.722,0.667
SEIR01_sl250_mr025_nv10_3,0.656,0.778,0.712,0.69,0.741,0.714
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.633,0.756,0.689,0.689,0.756,0.721
SEIR01_sl250_mr025_nv10_6,0.567,0.773,0.654,0.63,0.773,0.694
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.659,0.794,0.72,0.643,0.794,0.711
SEIR01_sl250_mr025_nv10_9,0.708,0.836,0.767,0.761,0.836,0.797
SEIR01_sl500_mr025_nv10_1,0.545,0.6,0.571,0.625,0.5,0.556
SEIR01_sl500_mr025_nv10_10,0.75,0.857,0.8,0.786,0.786,0.786
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.87,0.922,0.895,0.868,0.902,0.885
SEIR01_sl500_mr025_nv10_13,0.636,0.7,0.667,0.824,0.7,0.757
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.787,0.828,0.807,0.828,0.828,0.828
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774,0.857,0.8,0.828
SEIR01_sl500_mr025_nv10_17,0.429,0.5,0.462,0.4,0.333,0.364
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667,0.6,0.75,0.667
SEIR01_sl500_mr025_nv10_2,0.5,0.5,0.5,0.625,0.625,0.625
SEIR01_sl500_mr025_nv10_20,0.781,0.781,0.781,0.821,0.719,0.767
SEIR01_sl500_mr025_nv10_3,0.792,0.905,0.844,0.864,0.905,0.884
SEIR01_sl500_mr025_nv10_4,0.714,0.714,0.714,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_5,0.8,0.8,0.8,1,0.8,0.889
SEIR01_sl500_mr025_nv10_6,0.825,0.887,0.855,0.917,0.83,0.871
SEIR01_sl500_mr025_nv10_7,0.806,0.853,0.829,0.829,0.853,0.841
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.786,0.786,0.786,0.833,0.714,0.769
SIR003_sl1000_mr025_nv10_10,0.923,0.923,0.923,0.833,0.769,0.8
SIR003_sl1000_mr025_nv10_11,0.581,0.6,0.59,0.696,0.533,0.604
SIR003_sl1000_mr025_nv10_12,0.82,0.837,0.828,0.826,0.776,0.8
SIR003_sl1000_mr025_nv10_13,0.455,0.455,0.455,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,0.867,0.867,0.867,0.846,0.733,0.786
SIR003_sl1000_mr025_nv10_15,0.625,0.625,0.625,0.722,0.542,0.619
SIR003_sl1000_mr025_nv10_16,0.667,0.706,0.686,0.688,0.647,0.667
SIR003_sl1000_mr025_nv10_17,0.833,0.87,0.851,0.818,0.783,0.8
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1
SIR003_sl1000_mr025_nv10_19,0.667,0.667,0.667,0.739,0.708,0.723
SIR003_sl1000_mr025_nv10_2,0.75,0.789,0.769,0.875,0.737,0.8
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,0.815,0.846,0.83,1,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.774,0.774,0.774,0.875,0.677,0.764
SIR003_sl1000_mr025_nv10_5,0.857,0.857,0.857,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.609,0.609,0.609,0.882,0.652,0.75
SIR003_sl1000_mr025_nv10_7,0.562,0.562,0.562,0.643,0.562,0.6
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.714,0.714,0.714,0.842,0.571,0.681
SIR003_sl1000_mr05_nv10_1,0.588,0.588,0.588,0.733,0.647,0.688
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.571,0.571,0.571,0.667,0.629,0.647
SIR003_sl1000_mr05_nv10_12,0.891,0.891,0.891,0.88,0.8,0.838
SIR003_sl1000_mr05_nv10_13,0.804,0.804,0.804,0.894,0.75,0.816
SIR003_sl1000_mr05_nv10_14,1,1,1,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_16,0.68,0.68,0.68,0.882,0.6,0.714
