dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl250_mr025_nv10_13,0.429,0.5,0.462,0.429,0.5,0.462
SEIR01_sl250_mr025_nv10_14,0.538,0.609,0.571,0.605,0.565,0.584
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,0.7,1,0.824
SEIR01_sl250_mr025_nv10_16,0.476,0.652,0.55,0.483,0.609,0.538
SEIR01_sl250_mr025_nv10_17,0.308,0.5,0.381,0.231,0.375,0.286
SEIR01_sl250_mr025_nv10_18,0.667,0.812,0.732,0.714,0.781,0.746
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.625,0.714,0.667,0.714,0.714,0.714
SEIR01_sl250_mr025_nv10_20,0.6,0.667,0.632,0.6,0.667,0.632
SEIR01_sl250_mr025_nv10_3,0.656,0.778,0.712,0.677,0.778,0.724
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.633,0.756,0.689,0.674,0.756,0.713
SEIR01_sl250_mr025_nv10_6,0.567,0.773,0.654,0.586,0.773,0.667
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.659,0.794,0.72,0.634,0.765,0.693
SEIR01_sl250_mr025_nv10_9,0.708,0.836,0.767,0.75,0.836,0.791
SEIR01_sl500_mr025_nv10_1,0.545,0.6,0.571,0.667,0.6,0.632
SEIR01_sl500_mr025_nv10_10,0.75,0.857,0.8,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.87,0.922,0.895,0.887,0.922,0.904
SEIR01_sl500_mr025_nv10_13,0.636,0.7,0.667,0.778,0.7,0.737
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.787,0.828,0.807,0.814,0.828,0.821
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774,0.8,0.8,0.8
SEIR01_sl500_mr025_nv10_17,0.429,0.5,0.462,0.429,0.5,0.462
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667,0.6,0.75,0.667
SEIR01_sl500_mr025_nv10_2,0.5,0.5,0.5,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.781,0.781,0.781,0.828,0.75,0.787
SEIR01_sl500_mr025_nv10_3,0.792,0.905,0.844,0.818,0.857,0.837
SEIR01_sl500_mr025_nv10_4,0.714,0.714,0.714,0.857,0.857,0.857
SEIR01_sl500_mr025_nv10_5,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl500_mr025_nv10_6,0.825,0.887,0.855,0.902,0.868,0.885
SEIR01_sl500_mr025_nv10_7,0.806,0.853,0.829,0.829,0.853,0.841
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.786,0.786,0.786,0.846,0.786,0.815
SIR003_sl1000_mr025_nv10_10,0.923,0.923,0.923,0.846,0.846,0.846
SIR003_sl1000_mr025_nv10_11,0.581,0.6,0.59,0.75,0.6,0.667
SIR003_sl1000_mr025_nv10_12,0.82,0.837,0.828,0.809,0.776,0.792
SIR003_sl1000_mr025_nv10_13,0.455,0.455,0.455,0.571,0.364,0.444
SIR003_sl1000_mr025_nv10_14,0.867,0.867,0.867,0.923,0.8,0.857
SIR003_sl1000_mr025_nv10_15,0.625,0.625,0.625,0.714,0.625,0.667
SIR003_sl1000_mr025_nv10_16,0.667,0.706,0.686,0.647,0.647,0.647
SIR003_sl1000_mr025_nv10_17,0.833,0.87,0.851,0.857,0.783,0.818
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1
SIR003_sl1000_mr025_nv10_19,0.667,0.667,0.667,0.727,0.667,0.696
SIR003_sl1000_mr025_nv10_2,0.75,0.789,0.769,0.833,0.789,0.811
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,0.815,0.846,0.83,0.952,0.769,0.851
SIR003_sl1000_mr025_nv10_4,0.774,0.774,0.774,0.808,0.677,0.737
SIR003_sl1000_mr025_nv10_5,0.857,0.857,0.857,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.609,0.609,0.609,0.75,0.652,0.698
SIR003_sl1000_mr025_nv10_7,0.562,0.562,0.562,0.643,0.562,0.6
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.714,0.714,0.714,0.773,0.607,0.68
SIR003_sl1000_mr05_nv10_1,0.588,0.588,0.588,0.714,0.588,0.645
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.571,0.571,0.571,0.606,0.571,0.588
SIR003_sl1000_mr05_nv10_12,0.891,0.891,0.891,0.882,0.818,0.849
SIR003_sl1000_mr05_nv10_13,0.804,0.804,0.804,0.917,0.786,0.846
SIR003_sl1000_mr05_nv10_14,1,1,1,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_16,0.68,0.68,0.68,0.842,0.64,0.727
