strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_486356,California,California,California,California,California,Maryland,California,California,California,California,California,California
EPI_ISL_417935,California,Michigan,California,NewYork,NewYork,NewYork,NewYork,California,California,Michigan,California,California
EPI_ISL_429012,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_429045,Arizona,Illinois,California,Washington,California,California,Texas,California,Arizona,California,Washington,California
EPI_ISL_428994,Florida,Florida,California,Utah,Florida,California,California,Florida,California,California,Florida,Florida
EPI_ISL_429033,California,California,California,California,California,California,NewYork,California,California,NewYork,California,California
EPI_ISL_467946,California,California,California,NewYork,Louisiana,Connecticut,California,California,California,California,California,California
EPI_ISL_444455,Washington,Washington,Arizona,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Arizona,Arizona
EPI_ISL_435583,Maryland,Pennsylvania,California,California,Florida,California,Wisconsin,Florida,California,Florida,Florida,Florida
EPI_ISL_435586,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,California,Wisconsin,California,Wisconsin,California,California,California
EPI_ISL_445118,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_437554,California,California,California,California,Arizona,NewYork,California,Louisiana,California,California,California,California
EPI_ISL_458252,California,NewYork,NewYork,NewYork,NewYork,California,California,California,California,Washington,NewYork,California
EPI_ISL_467972,California,California,California,California,Louisiana,California,California,California,California,California,California,California
EPI_ISL_491300,Arizona,California,Illinois,California,California,Illinois,California,California,California,California,California,California
EPI_ISL_491301,Illinois,California,Illinois,California,California,California,California,California,California,California,California,California
EPI_ISL_408009,California,California,California,California,California,Illinois,California,California,California,California,California,California
EPI_ISL_419554,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_491481,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina,SouthCarolina
EPI_ISL_454642,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NorthCarolina,NewYork,NewYork,NewYork,NewYork
EPI_ISL_430401,Virginia,Connecticut,Oregon,NewYork,Louisiana,Connecticut,Utah,Florida,NewYork,Louisiana,NewYork,NewYork
EPI_ISL_477673,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_477675,Michigan,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut
EPI_ISL_485920,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_485923,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Maryland,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_485926,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_490979,Connecticut,Connecticut,Utah,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_485936,Massachusetts,Connecticut,Florida,Connecticut,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Maryland,Connecticut,Wisconsin,Connecticut
EPI_ISL_485938,Connecticut,Connecticut,Connecticut,Minnesota,Connecticut,California,Connecticut,Washington,Connecticut,Michigan,Michigan,Connecticut
EPI_ISL_490980,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Michigan,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_490983,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_490987,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_427163,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_427165,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_426052,NewYork,Connecticut,Idaho,NewYork,Connecticut,Connecticut,Idaho,Connecticut,NewYork,Connecticut,Idaho,Connecticut
EPI_ISL_426055,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_429646,Michigan,Louisiana,Minnesota,Connecticut,Louisiana,Connecticut,Utah,Idaho,California,Louisiana,Connecticut,Connecticut
EPI_ISL_484885,Arizona,Connecticut,Illinois,Illinois,Illinois,Connecticut,California,California,California,Illinois,Illinois,Illinois
EPI_ISL_461435,Pennsylvania,Pennsylvania,California,Oregon,Massachusetts,Maryland,NewMexico,Connecticut,NewYork,NewMexico,Florida,Florida
EPI_ISL_430908,Michigan,California,Connecticut,Connecticut,Louisiana,Connecticut,Connecticut,Utah,NewYork,Louisiana,Connecticut,Connecticut
EPI_ISL_430917,Connecticut,Massachusetts,Illinois,Connecticut,Massachusetts,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_430919,NewYork,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut,NewYork,Connecticut,Connecticut,Connecticut
EPI_ISL_430921,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_430923,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Michigan,Connecticut,Connecticut,Washington,Connecticut,Connecticut
EPI_ISL_430926,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_430960,Virginia,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_430961,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_430965,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Maryland,Connecticut,Michigan,Connecticut,Michigan,Connecticut
EPI_ISL_476912,California,Virginia,Utah,Oregon,Maryland,California,Connecticut,Connecticut,Minnesota,Connecticut,Maryland,Connecticut
EPI_ISL_476917,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Idaho,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_437870,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut
EPI_ISL_437871,Connecticut,Florida,Connecticut,Connecticut,Connecticut,Connecticut,Florida,Connecticut,Connecticut,Louisiana,Connecticut,Connecticut
EPI_ISL_437872,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Idaho,Connecticut,Connecticut,NewYork,Connecticut,Connecticut
EPI_ISL_461411,Michigan,Connecticut,Connecticut,Virginia,Louisiana,Massachusetts,Virginia,Utah,Virginia,Louisiana,Virginia,Virginia
EPI_ISL_461416,Connecticut,NewYork,Connecticut,Connecticut,Connecticut,Connecticut,Virginia,Michigan,Michigan,Connecticut,Connecticut,Connecticut
EPI_ISL_418058,Connecticut,NewYork,Maryland,Connecticut,Maryland,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_418871,California,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,California,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
EPI_ISL_418895,Virginia,Arizona,Oregon,Michigan,Arizona,NewYork,NewYork,Texas,NewYork,Texas,NewYork,NewYork
EPI_ISL_418898,Arizona,Arizona,Oregon,Arizona,Arizona,Wisconsin,Arizona,Arizona,Arizona,Arizona,Massachusetts,Connecticut
EPI_ISL_416417,Washington,Minnesota,Connecticut,Oregon,Washington,Utah,Connecticut,Connecticut,Connecticut,Washington,Connecticut,Connecticut
