strain	virus	date	country
EPI_ISL_420906	hCoV-19	2020-03-16	Germany
EPI_ISL_418015	hCoV-19	2020-03-09	Portugal
EPI_ISL_419215	hCoV-19	2020-02-10	Hong Kong
EPI_ISL_420070	hCoV-19	2020-03-17	Senegal
EPI_ISL_420142	hCoV-19	2020-03-30	Georgia
EPI_ISL_421480	hCoV-19	2020-03-21	Portugal
EPI_ISL_421747	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_418002	hCoV-19	2020-03-11	Portugal
EPI_ISL_425125	hCoV-19	2020-03-18	Germany
EPI_ISL_414015	hCoV-19	2020-02-29	Brazil
EPI_ISL_421662	hCoV-19	2020-03-10	India
EPI_ISL_421449	hCoV-19	2020-03-18	Portugal
EPI_ISL_422437	hCoV-19	2020-03-25	Italy
EPI_ISL_418217	hCoV-19	2020-03-13	Senegal
EPI_ISL_419573	hCoV-19	2020-03-11	Luxembourg
EPI_ISL_415703	hCoV-19	2020-03-01	Switzerland
EPI_ISL_418397	hCoV-19	2020-03-13	Finland
EPI_ISL_419297	hCoV-19	2020-03-10	Japan
EPI_ISL_420568	hCoV-19	2020-03-23	Italy
EPI_ISL_419564	hCoV-19	2020-03-15	Luxembourg
EPI_ISL_419221	hCoV-19	2020-02-11	Hong Kong
EPI_ISL_414499	hCoV-19	2020-02-26	Germany
EPI_ISL_421488	hCoV-19	2020-03-22	Portugal
EPI_ISL_419583	hCoV-19	2020-03-15	Luxembourg
EPI_ISL_419582	hCoV-19	2020-03-13	Luxembourg
EPI_ISL_419591	hCoV-19	2020-03-14	Luxembourg
EPI_ISL_417458	hCoV-19	2020-03-11	Germany
EPI_ISL_419589	hCoV-19	2020-03-15	Luxembourg
EPI_ISL_416614	hCoV-19	2020-02-17	Japan
EPI_ISL_415702	hCoV-19	2020-03-02	Switzerland
EPI_ISL_417988	hCoV-19	2020-03-05	Portugal
EPI_ISL_419570	hCoV-19	2020-03-12	Luxembourg
EPI_ISL_416565	hCoV-19	2020-02-15	Japan
EPI_ISL_420583	hCoV-19	2020-03-23	Italy
