strain	virus	date	country
EPI_ISL_424863	hCoV-19	2020-03-XX	USA
EPI_ISL_418390	hCoV-19	2020-03-13	Finland
EPI_ISL_415704	hCoV-19	2020-03-04	Switzerland
EPI_ISL_425561	hCoV-19	2020-03-25	England
EPI_ISL_417466	hCoV-19	2020-03-14	Germany
EPI_ISL_420152	hCoV-19	2020-03-17	Norway
EPI_ISL_420611	hCoV-19	2020-03-23	France
EPI_ISL_416754	hCoV-19	2020-03-06	France
EPI_ISL_422492	hCoV-19	2020-03-19	USA
EPI_ISL_422995	hCoV-19	2020-03-17	USA
EPI_ISL_421417	hCoV-19	2020-03-17	USA
EPI_ISL_422653	hCoV-19	2020-03-18	Netherlands
EPI_ISL_422582	hCoV-19	2020-03-30	Netherlands
EPI_ISL_418341	hCoV-19	2020-03-12	Canada
EPI_ISL_423488	hCoV-19	2020-03-31	England
EPI_ISL_413931	hCoV-19	2020-03-05	USA
EPI_ISL_417437	hCoV-19	2020-03-17	Democratic Republic of the Congo
EPI_ISL_414463	hCoV-19	2020-03-04	Netherlands
EPI_ISL_416628	hCoV-19	2020-02-17	Japan
EPI_ISL_414520	hCoV-19	2020-03-02	Germany
EPI_ISL_423498	hCoV-19	2020-03-31	England
EPI_ISL_417289	hCoV-19	2020-03-06	England
EPI_ISL_411927	hCoV-19	2020-01-28	Taiwan
EPI_ISL_423134	hCoV-19	2020-03-23	England
EPI_ISL_417550	hCoV-19	2020-03-16	Iceland
EPI_ISL_417822	hCoV-19	2020-03-16	Iceland
EPI_ISL_418187	hCoV-19	2020-03-23	USA
EPI_ISL_418223	hCoV-19	2020-03-05	France
EPI_ISL_419544	hCoV-19	2020-03-15	Germany
EPI_ISL_419682	hCoV-19	2020-03-10	Spain
EPI_ISL_421188	hCoV-19	2020-03-30	Belgium
EPI_ISL_420734	hCoV-19	2020-03-27	England
EPI_ISL_415620	hCoV-19	2020-03-09	USA
EPI_ISL_422623	hCoV-19	2020-04-02	Netherlands
EPI_ISL_420795	hCoV-19	2020-03-01	USA
EPI_ISL_417562	hCoV-19	2020-03-17	Iceland
EPI_ISL_426096	hCoV-19	2020-03-25	USA
EPI_ISL_418216	hCoV-19	2020-03-13	Senegal
EPI_ISL_406594	hCoV-19	2020-01-16	China
EPI_ISL_416599	hCoV-19	2020-02-16	Japan
EPI_ISL_423605	hCoV-19	2020-03-22	England
EPI_ISL_420399	hCoV-19	2020-03-24	Belgium
EPI_ISL_424209	hCoV-19	2020-03-20	USA
EPI_ISL_415473	hCoV-19	2020-03-09	Netherlands
EPI_ISL_424557	hCoV-19	2020-03-27	Iceland
EPI_ISL_420140	hCoV-19	2020-03-28	Georgia
EPI_ISL_424282	hCoV-19	2020-03-23	USA
EPI_ISL_423708	hCoV-19	2020-03-23	England
EPI_ISL_413697	hCoV-19	2020-02-XX	China
EPI_ISL_417007	hCoV-19	2020-03-07	Spain
EPI_ISL_422635	hCoV-19	2020-03-31	Netherlands
EPI_ISL_417411	hCoV-19	2020-03-17	Australia
EPI_ISL_425751	hCoV-19	2020-03-19	Scotland
EPI_ISL_414368	hCoV-19	2020-03-05	USA
EPI_ISL_417492	hCoV-19	2020-03-13	USA
EPI_ISL_413579	hCoV-19	2020-03-03	Netherlands
EPI_ISL_422115	hCoV-19	2020-03-30	Wales
EPI_ISL_425758	hCoV-19	2020-03-11	Scotland
EPI_ISL_416363	hCoV-19	2020-02-08	China
EPI_ISL_419897	hCoV-19	2020-03-19	Australia
EPI_ISL_417746	hCoV-19	2020-03-16	Iceland
EPI_ISL_424308	hCoV-19	2020-03-22	USA
EPI_ISL_423787	hCoV-19	2020-03-23	England
EPI_ISL_423771	hCoV-19	2020-03-24	England
EPI_ISL_418702	hCoV-19	2020-03-16	England
EPI_ISL_422587	hCoV-19	2020-03-31	Netherlands
EPI_ISL_425985	hCoV-19	2020-03-30	Scotland
EPI_ISL_420587	hCoV-19	2020-03-18	USA
EPI_ISL_421399	hCoV-19	2020-03-17	USA
EPI_ISL_424400	hCoV-19	2020-03-19	Iceland
EPI_ISL_420342	hCoV-19	2020-03-06	Belgium
EPI_ISL_420016	hCoV-19	2020-03-24	Australia
EPI_ISL_422028	hCoV-19	2020-03-27	Wales
EPI_ISL_424510	hCoV-19	2020-03-20	Iceland
EPI_ISL_418903	hCoV-19	2020-03-16	USA
EPI_ISL_423796	hCoV-19	2020-03-23	England
EPI_ISL_420564	hCoV-19	2020-03-19	Italy
EPI_ISL_419878	hCoV-19	2020-03-19	Australia
EPI_ISL_419766	hCoV-19	2020-03-12	Australia
EPI_ISL_417588	hCoV-19	2020-03-17	Iceland
EPI_ISL_415530	hCoV-19	2020-03-09	Netherlands
EPI_ISL_420076	hCoV-19	2020-03-20	Senegal
EPI_ISL_417347	hCoV-19	2020-03-12	USA
EPI_ISL_423662	hCoV-19	2020-02-23	England
EPI_ISL_417132	hCoV-19	2020-03-05	USA
EPI_ISL_412870	hCoV-19	2020-01-30	South Korea
EPI_ISL_421809	hCoV-19	2020-03-25	England
EPI_ISL_423628	hCoV-19	2020-03-22	England
EPI_ISL_415523	hCoV-19	2020-XX-XX	Netherlands
EPI_ISL_420389	hCoV-19	2020-03-24	Belgium
EPI_ISL_426534	hCoV-19	2020-03-27	USA
EPI_ISL_415622	hCoV-19	2020-03-09	USA
EPI_ISL_417096	hCoV-19	2020-02-27	USA
EPI_ISL_426462	hCoV-19	2020-03-29	USA
EPI_ISL_421709	hCoV-19	2020-03-18	USA
EPI_ISL_421173	hCoV-19	2020-03-08	Spain
EPI_ISL_414454	hCoV-19	2020-03-05	Netherlands
EPI_ISL_417732	hCoV-19	2020-03-10	Iceland
EPI_ISL_419301	hCoV-19	2020-03-11	Japan
EPI_ISL_425171	hCoV-19	2020-03-30	USA
EPI_ISL_420128	hCoV-19	2020-03-12	Spain
EPI_ISL_418323	hCoV-19	2020-03-14	Canada
EPI_ISL_424255	hCoV-19	2020-03-16	USA
EPI_ISL_423613	hCoV-19	2020-03-23	England
