dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr025_nv5_4,0.881,0.74,0.804,0.76,0.76,0.76
SEIR01_sl1000_mr025_nv5_5,0.818,0.529,0.643,0.722,0.765,0.743
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.87,0.87,0.87,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv5_9,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr05_nv10_1,0.909,0.769,0.833,0.923,0.923,0.923
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.806,0.781,0.794,0.794,0.844,0.818
SEIR01_sl1000_mr05_nv10_12,0.891,0.845,0.867,0.881,0.897,0.889
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.839,0.667,0.743,0.85,0.872,0.861
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.952,0.909,0.93,0.87,0.909,0.889
SEIR01_sl1000_mr05_nv10_18,0.87,0.839,0.855,0.828,0.857,0.842
SEIR01_sl1000_mr05_nv10_19,0.625,0.714,0.667,0.286,0.286,0.286
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.918,0.865,0.891,0.87,0.904,0.887
SEIR01_sl1000_mr05_nv10_3,0.875,0.84,0.857,0.92,0.92,0.92
SEIR01_sl1000_mr05_nv10_4,0.727,0.727,0.727,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.865,0.8,0.831,0.9,0.9,0.9
SEIR01_sl1000_mr05_nv10_7,0.905,0.826,0.864,0.792,0.826,0.809
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.92,0.885,0.902,0.926,0.962,0.943
SEIR01_sl250_mr025_nv10_1,0.592,0.644,0.617,0.583,0.622,0.602
SEIR01_sl250_mr025_nv10_10,0.75,0.706,0.727,0.778,0.824,0.8
SEIR01_sl250_mr025_nv10_11,0.7,0.875,0.778,0.684,0.812,0.743
SEIR01_sl250_mr025_nv10_12,0.818,0.837,0.828,0.792,0.884,0.835
SEIR01_sl250_mr025_nv10_13,0.5,0.667,0.571,0.429,0.5,0.462
SEIR01_sl250_mr025_nv10_14,0.61,0.543,0.575,0.532,0.543,0.538
SEIR01_sl250_mr025_nv10_15,0.583,1,0.737,0.7,1,0.824
SEIR01_sl250_mr025_nv10_16,0.458,0.587,0.514,0.469,0.652,0.545
SEIR01_sl250_mr025_nv10_17,0.273,0.375,0.316,0.462,0.75,0.571
SEIR01_sl250_mr025_nv10_18,0.714,0.781,0.746,0.676,0.781,0.725
SEIR01_sl250_mr025_nv10_19,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_2,0.714,0.714,0.714,0.625,0.714,0.667
SEIR01_sl250_mr025_nv10_20,0.65,0.722,0.684,0.65,0.722,0.684
SEIR01_sl250_mr025_nv10_3,0.69,0.741,0.714,0.71,0.815,0.759
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.689,0.756,0.721,0.633,0.756,0.689
SEIR01_sl250_mr025_nv10_6,0.63,0.773,0.694,0.607,0.773,0.68
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.643,0.794,0.711,0.634,0.765,0.693
SEIR01_sl250_mr025_nv10_9,0.761,0.836,0.797,0.718,0.836,0.773
SEIR01_sl500_mr025_nv10_1,0.6,0.6,0.6,0.455,0.5,0.476
SEIR01_sl500_mr025_nv10_10,0.786,0.786,0.786,0.688,0.786,0.733
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.852,0.902,0.876,0.889,0.941,0.914
SEIR01_sl500_mr025_nv10_13,0.824,0.7,0.757,0.714,0.75,0.732
SEIR01_sl500_mr025_nv10_14,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_15,0.842,0.828,0.835,0.8,0.828,0.814
SEIR01_sl500_mr025_nv10_16,0.857,0.8,0.828,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.4,0.333,0.364,0.571,0.667,0.615
SEIR01_sl500_mr025_nv10_18,0.333,0.333,0.333,0.333,0.333,0.333
SEIR01_sl500_mr025_nv10_19,0.583,0.875,0.7,0.545,0.75,0.632
SEIR01_sl500_mr025_nv10_2,0.556,0.625,0.588,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.815,0.688,0.746,0.781,0.781,0.781
SEIR01_sl500_mr025_nv10_3,0.857,0.857,0.857,0.792,0.905,0.844
SEIR01_sl500_mr025_nv10_4,0.667,0.857,0.75,0.625,0.714,0.667
SEIR01_sl500_mr025_nv10_5,1,0.8,0.889,0.667,0.8,0.727
SEIR01_sl500_mr025_nv10_6,0.898,0.83,0.863,0.86,0.925,0.891
SEIR01_sl500_mr025_nv10_7,0.829,0.853,0.841,0.757,0.824,0.789
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.769,0.714,0.741,0.786,0.786,0.786
SIR003_sl1000_mr025_nv10_10,0.833,0.769,0.8,0.692,0.692,0.692
SIR003_sl1000_mr025_nv10_11,0.739,0.567,0.642,0.581,0.6,0.59
SIR003_sl1000_mr025_nv10_12,0.844,0.776,0.809,0.765,0.796,0.78
SIR003_sl1000_mr025_nv10_13,0.667,0.364,0.471,0.545,0.545,0.545
SIR003_sl1000_mr025_nv10_14,0.846,0.733,0.786,0.8,0.8,0.8
SIR003_sl1000_mr025_nv10_15,0.737,0.583,0.651,0.708,0.708,0.708
SIR003_sl1000_mr025_nv10_16,0.688,0.647,0.667,0.611,0.647,0.629
SIR003_sl1000_mr025_nv10_17,0.857,0.783,0.818,0.826,0.826,0.826
