strain	date	country	country_exposure
EPI_ISL_422952	2020-03-27	Netherlands	Netherlands
EPI_ISL_422629	2020-03-31	Netherlands	Netherlands
EPI_ISL_438056	2020-03-17	Austria	Austria
EPI_ISL_456330	2020-04-01	New Zealand	NewZealand
EPI_ISL_456331	2020-04-01	New Zealand	NewZealand
EPI_ISL_455134	2020-04-03	Netherlands	Netherlands
EPI_ISL_461177	2020-04-22	Netherlands	Netherlands
EPI_ISL_461254	2020-03-28	Netherlands	Netherlands
EPI_ISL_466885	2020-04-16	Germany	Germany
EPI_ISL_456834	2020-05-07	United Kingdom	UnitedKingdom
EPI_ISL_456295	2020-04-01	New Zealand	NewZealand
EPI_ISL_417691	2020-03-11	Iceland	Italy
EPI_ISL_415642	2020-03-10	Georgia	Georgia
EPI_ISL_462457	2020-03-20	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462456	2020-03-20	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_438084	2020-03-22	Austria	Austria
EPI_ISL_462455	2020-03-20	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_447038	2020-05-03	India	India
EPI_ISL_463039	2020-05-11	India	India
EPI_ISL_451198	2020-04-27	Uganda	Uganda
EPI_ISL_451201	2020-04-30	Uganda	Uganda
EPI_ISL_447547	2020-04-28	India	India
EPI_ISL_455471	2020-05-14	Romania	Romania
EPI_ISL_455476	2020-05-17	Romania	Romania
EPI_ISL_437207	2020-04-09	Germany	Germany
EPI_ISL_436726	2020-04-27	Italy	Italy
EPI_ISL_420074	2020-03-20	Senegal	Senegal
EPI_ISL_462467	2020-03-26	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462460	2020-03-22	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462452	2020-03-19	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462454	2020-03-20	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462453	2020-03-20	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_437281	2020-04-01	Germany	Germany
EPI_ISL_450530	2020-04-01	Poland	Poland
EPI_ISL_451889	2020-04-06	Switzerland	Switzerland
EPI_ISL_428854	2020-03-30	Italy	Italy
EPI_ISL_429742	2020-04-10	Luxembourg	Luxembourg
EPI_ISL_428945	2020-04-03	Luxembourg	Luxembourg
EPI_ISL_428949	2020-04-03	Luxembourg	Luxembourg
EPI_ISL_459967	2020-03-15	Morocco	Morocco
EPI_ISL_466902	2020-04-30	Germany	Germany
EPI_ISL_455631	2020-04-30	South Africa	SouthAfrica
EPI_ISL_430071	2020-04-08	Russia	Russia
EPI_ISL_451197	2020-04-27	Uganda	Uganda
EPI_ISL_452104	2020-04-04	Germany	Germany
EPI_ISL_435049	2020-04-13	India	India
EPI_ISL_455679	2020-05-04	India	India
EPI_ISL_458109	2020-05-17	India	India
EPI_ISL_462469	2020-03-27	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_462465	2020-03-25	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_455068	2020-05-05	Australia	Australia
EPI_ISL_426895	2020-03-27	Czech Republic	CzechRepublic
EPI_ISL_426893	2020-03-27	Czech Republic	CzechRepublic
EPI_ISL_436727	2020-04-27	Italy	Italy
EPI_ISL_466903	2020-04-30	Germany	Germany
EPI_ISL_437089	2020-03-23	Latvia	Latvia
EPI_ISL_458096	2020-05-24	India	India
EPI_ISL_445242	2020-04-22	Sweden	Sweden
EPI_ISL_452242	2020-05-04	Sweden	Sweden
EPI_ISL_450243	2020-04-16	Russia	Russia
EPI_ISL_455653	2020-04-21	India	India
EPI_ISL_466920	2020-05-25	Germany	Germany
EPI_ISL_466919	2020-05-25	Germany	Germany
EPI_ISL_466925	2020-05-26	Germany	Germany
EPI_ISL_466923	2020-05-25	Germany	Germany
EPI_ISL_466921	2020-05-25	Germany	Germany
EPI_ISL_466917	2020-05-23	Germany	Germany
EPI_ISL_466916	2020-05-22	Germany	Germany
EPI_ISL_466924	2020-05-26	Germany	Germany
EPI_ISL_466922	2020-05-25	Germany	Germany
EPI_ISL_462252	2020-04-06	Belgium	Belgium
EPI_ISL_455636	2020-03-31	South Africa	SouthAfrica
EPI_ISL_455635	2020-05-05	South Africa	SouthAfrica
EPI_ISL_455633	2020-04-30	South Africa	SouthAfrica
EPI_ISL_421574	2020-04-01	South Africa	SouthAfrica
EPI_ISL_421575	2020-04-01	South Africa	SouthAfrica
EPI_ISL_429555	2020-03-25	Denmark	Denmark
EPI_ISL_452094	2020-04-14	Denmark	Denmark
EPI_ISL_452064	2020-04-27	Denmark	Denmark
EPI_ISL_452087	2020-04-26	Denmark	Denmark
EPI_ISL_452069	2020-04-27	Denmark	Denmark
EPI_ISL_458181	2020-03-27	Belgium	Belgium
EPI_ISL_420563	2020-03-18	Italy	Italy
EPI_ISL_419871	2020-03-18	Australia	Australia
EPI_ISL_466910	2020-05-17	Germany	Germany
EPI_ISL_455965	2020-05-09	Belgium	Belgium
EPI_ISL_455966	2020-05-09	Belgium	Belgium
EPI_ISL_416142	2020-02-26	Denmark	Denmark
EPI_ISL_444277	2020-03-20	Taiwan	Taiwan
EPI_ISL_455639	2020-03-31	South Africa	SouthAfrica
EPI_ISL_418397	2020-03-13	Finland	Finland
EPI_ISL_466615	2020-02-16	United Kingdom	UnitedKingdom
EPI_ISL_415459	2020-02-29	Switzerland	Switzerland
EPI_ISL_454754	2020-02-28	Netherlands	Netherlands
EPI_ISL_435145	2020-03-24	Italy	Italy
EPI_ISL_451871	2020-04-07	Switzerland	Switzerland
EPI_ISL_434626	2020-03-26	France	France
EPI_ISL_460080	2020-02-28	Italy	Italy
EPI_ISL_420416	2020-03-23	Belgium	Belgium
EPI_ISL_455326	2020-02-29	Spain	Spain
EPI_ISL_464214	2020-02-29	United Kingdom	UnitedKingdom
EPI_ISL_424731	2020-03-13	Mexico	Mexico
EPI_ISL_445353	2020-04-02	Chile	Chile
EPI_ISL_453984	2020-04-05	Portugal	Portugal
EPI_ISL_447620	2020-03-30	Taiwan	USA
EPI_ISL_428864	2020-03-11	Russia	Russia
EPI_ISL_454565	2020-03-31	India	India
EPI_ISL_452222	2020-03-02	Germany	Italy
EPI_ISL_452220	2020-03-02	Germany	Italy
EPI_ISL_436725	2020-04-27	Italy	Italy
EPI_ISL_436731	2020-04-26	Italy	Italy
EPI_ISL_450831	2020-04-27	Sweden	Sweden
EPI_ISL_434467	2020-03-12	Greece	Greece
EPI_ISL_415698	2020-02-27	Switzerland	Switzerland
EPI_ISL_415699	2020-02-27	Switzerland	Switzerland
EPI_ISL_414012	2020-02-27	United Kingdom	UnitedKingdom
EPI_ISL_420153	2020-03-16	Norway	Norway
EPI_ISL_420310	2020-03-16	Norway	Norway
EPI_ISL_453977	2020-04-04	Portugal	Portugal
EPI_ISL_429749	2020-03-24	Luxembourg	Luxembourg
EPI_ISL_434496	2020-04-10	Luxembourg	Luxembourg
EPI_ISL_429706	2020-04-09	Luxembourg	Luxembourg
EPI_ISL_462753	2020-05-27	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_451196	2020-03-25	Uganda	Uganda
EPI_ISL_429120	2020-03-11	Sweden	Sweden
EPI_ISL_458230	2020-03-16	Belgium	Belgium
EPI_ISL_454873	2020-03-03	Sweden	Sweden
EPI_ISL_451859	2020-04-07	Switzerland	Switzerland
EPI_ISL_461967	2020-06-02	United Kingdom	UnitedKingdom
EPI_ISL_454783	2020-04-22	Netherlands	Netherlands
EPI_ISL_460766	2020-03-25	Netherlands	Netherlands
EPI_ISL_455962	2020-05-08	Belgium	Belgium
EPI_ISL_455967	2020-05-09	Belgium	Belgium
EPI_ISL_455958	2020-05-11	Belgium	Belgium
EPI_ISL_451894	2020-04-07	Switzerland	Switzerland
EPI_ISL_451915	2020-04-07	Switzerland	Switzerland
EPI_ISL_438123	2020-04-05	Austria	Austria
EPI_ISL_438122	2020-04-02	Austria	Austria
EPI_ISL_435047	2020-03-25	Kazakhstan	Kazakhstan
EPI_ISL_421651	2020-03-22	Taiwan	Taiwan
EPI_ISL_421576	2020-04-01	South Africa	SouthAfrica
EPI_ISL_432333	2020-04-05	United Kingdom	UnitedKingdom
EPI_ISL_467002	2020-05-06	Switzerland	Switzerland
EPI_ISL_440341	2020-03-18	United Kingdom	UnitedKingdom
EPI_ISL_437093	2020-03-22	Latvia	Latvia
EPI_ISL_437092	2020-03-20	Latvia	Latvia
EPI_ISL_437091	2020-03-23	Latvia	Latvia
EPI_ISL_450338	2020-04-11	Poland	Poland
EPI_ISL_450294	2020-04-11	Poland	Poland
EPI_ISL_450295	2020-04-11	Poland	Poland
EPI_ISL_438052	2020-03-16	Austria	Austria
EPI_ISL_438053	2020-03-16	Austria	Austria
EPI_ISL_419656	2020-02-26	Austria	Italy
EPI_ISL_437994	2020-02-28	Austria	Austria
EPI_ISL_437993	2020-02-27	Austria	Austria
EPI_ISL_437995	2020-02-28	Austria	Austria
EPI_ISL_438003	2020-03-04	Austria	Austria
EPI_ISL_438025	2020-03-10	Austria	Austria
EPI_ISL_413020	2020-02-27	Switzerland	Switzerland
EPI_ISL_435124	2020-03-16	United Arab Emirates	UnitedArabEmirates
EPI_ISL_423653	2020-03-23	United Kingdom	UnitedKingdom
EPI_ISL_459978	2020-04-20	Morocco	Morocco
EPI_ISL_459983	2020-04-21	Morocco	Morocco
EPI_ISL_459977	2020-04-21	Morocco	Morocco
EPI_ISL_426890	2020-03-26	Czech Republic	CzechRepublic
EPI_ISL_426883	2020-03-27	Czech Republic	CzechRepublic
EPI_ISL_424661	2020-04-05	Belgium	Belgium
EPI_ISL_461963	2020-06-01	United Kingdom	UnitedKingdom
EPI_ISL_454146	2020-03-28	Portugal	Portugal
EPI_ISL_428368	2020-04-16	Turkey	Turkey
EPI_ISL_413021	2020-02-29	Switzerland	Switzerland
EPI_ISL_412912	2020-02-25	Germany	Italy
EPI_ISL_445276	2020-03-15	Chile	Chile
EPI_ISL_445378	2020-04-04	Chile	Chile
EPI_ISL_458120	2020-04-13	Oman	Oman
EPI_ISL_457981	2020-04-03	Oman	Oman
EPI_ISL_458122	2020-04-07	Oman	Oman
EPI_ISL_458121	2020-04-20	Oman	Oman
EPI_ISL_458117	2020-05-09	Oman	Oman
EPI_ISL_458116	2020-05-01	Oman	Oman
EPI_ISL_458118	2020-05-01	Oman	Oman
EPI_ISL_457992	2020-03-22	Oman	Oman
EPI_ISL_457705	2020-05-08	Oman	Oman
EPI_ISL_458119	2020-04-11	Oman	Oman
EPI_ISL_466875	2020-04-13	Germany	Germany
EPI_ISL_454229	2020-03-18	Portugal	Portugal
EPI_ISL_415483	2020-03-09	Netherlands	Netherlands
EPI_ISL_424384	2020-03-19	Iceland	Iceland
EPI_ISL_417757	2020-03-06	Iceland	Iceland
EPI_ISL_454762	2020-03-16	Netherlands	Netherlands
EPI_ISL_426891	2020-03-26	Czech Republic	CzechRepublic
EPI_ISL_428865	2020-03-11	Russia	Russia
EPI_ISL_417817	2020-03-02	Iceland	Italy
EPI_ISL_414014	2020-03-02	Brazil	Brazil
EPI_ISL_416479	2020-03-05	Georgia	Georgia
EPI_ISL_455455	2020-03-14	Mexico	Mexico
EPI_ISL_438117	2020-03-27	Austria	Austria
EPI_ISL_438126	2020-04-02	Austria	Austria
EPI_ISL_438128	2020-04-07	Austria	Austria
EPI_ISL_438127	2020-04-05	Austria	Austria
EPI_ISL_460844	2020-04-14	Netherlands	Netherlands
EPI_ISL_451705	2020-03-16	Switzerland	Switzerland
EPI_ISL_458084	2020-04-03	Italy	Italy
EPI_ISL_458085	2020-04-12	Italy	Italy
EPI_ISL_461207	2020-04-24	Netherlands	Netherlands
EPI_ISL_438060	2020-03-17	Austria	Austria
EPI_ISL_461292	2020-04-19	Netherlands	Netherlands
EPI_ISL_422576	2020-03-30	Netherlands	Netherlands
EPI_ISL_437308	2020-03-25	Turkey	Turkey
EPI_ISL_415456	2020-02-29	Switzerland	Switzerland
EPI_ISL_450518	2020-04-18	Latvia	Latvia
EPI_ISL_450524	2020-04-19	Latvia	Latvia
EPI_ISL_424535	2020-03-21	Iceland	Iceland
EPI_ISL_462271	2020-05-07	Belgium	Belgium
EPI_ISL_435406	2020-03-22	Hungary	Hungary
EPI_ISL_416744	2020-03-20	Hungary	Hungary
EPI_ISL_414022	2020-02-27	Switzerland	Italy
EPI_ISL_414021	2020-02-27	Switzerland	Switzerland
EPI_ISL_413024	2020-02-29	Switzerland	Switzerland
EPI_ISL_415455	2020-02-28	Switzerland	Switzerland
EPI_ISL_454733	2020-03-01	Italy	Italy
EPI_ISL_418273	2020-02-28	Switzerland	Switzerland
EPI_ISL_455473	2020-05-14	Romania	Romania
EPI_ISL_458227	2020-03-30	Belgium	Belgium
EPI_ISL_458217	2020-03-30	Belgium	Belgium
EPI_ISL_451167	2020-04-01	Belgium	Belgium
EPI_ISL_429222	2020-04-07	Switzerland	Switzerland
EPI_ISL_445220	2020-04-30	Romania	Romania
EPI_ISL_455477	2020-05-13	Romania	Romania
EPI_ISL_420399	2020-03-24	Belgium	Belgium
EPI_ISL_451691	2020-03-13	Switzerland	Switzerland
EPI_ISL_455475	2020-05-14	Romania	Romania
EPI_ISL_455474	2020-05-14	Romania	Romania
EPI_ISL_455703	2020-03-27	Vietnam	Vietnam
EPI_ISL_455705	2020-03-31	Vietnam	Vietnam
EPI_ISL_455708	2020-04-10	Vietnam	Vietnam
EPI_ISL_455718	2020-04-10	Vietnam	Vietnam
EPI_ISL_429223	2020-04-07	Switzerland	Switzerland
EPI_ISL_455711	2020-04-08	Vietnam	Vietnam
EPI_ISL_435417	2020-03-30	Hungary	Hungary
EPI_ISL_421946	2020-03-31	United Kingdom	UnitedKingdom
EPI_ISL_460618	2020-04-15	Turkey	Turkey
EPI_ISL_451884	2020-04-06	Switzerland	Switzerland
EPI_ISL_460617	2020-04-16	Turkey	Turkey
EPI_ISL_460619	2020-04-16	Turkey	Turkey
EPI_ISL_429679	2020-03-16	Brazil	Brazil
EPI_ISL_454751	2020-02-28	Netherlands	Netherlands
EPI_ISL_415700	2020-02-28	Switzerland	Switzerland
EPI_ISL_454750	2020-02-27	Netherlands	Netherlands
EPI_ISL_466906	2020-05-04	Germany	Germany
EPI_ISL_426580	2020-03-13	Brazil	Brazil
EPI_ISL_413574	2020-02-29	Netherlands	Netherlands
EPI_ISL_416743	2020-03-05	Czech Republic	CzechRepublic
EPI_ISL_458139	2020-03-18	Brazil	Brazil
EPI_ISL_430793	2020-03-01	Argentina	Argentina
EPI_ISL_456083	2020-04-03	Brazil	Brazil
EPI_ISL_456090	2020-04-09	Brazil	Brazil
EPI_ISL_427303	2020-03-25	Brazil	Brazil
EPI_ISL_456103	2020-04-16	Brazil	Brazil
EPI_ISL_456091	2020-04-09	Brazil	Brazil
EPI_ISL_456086	2020-04-08	Brazil	Brazil
EPI_ISL_456075	2020-04-02	Brazil	Brazil
EPI_ISL_456076	2020-03-25	Brazil	Brazil
EPI_ISL_427298	2020-03-22	Brazil	Brazil
EPI_ISL_450873	2020-03-17	Brazil	Brazil
EPI_ISL_456079	2020-04-03	Brazil	Brazil
EPI_ISL_445352	2020-04-01	Chile	Chile
EPI_ISL_445370	2020-04-05	Chile	Chile
EPI_ISL_456081	2020-04-06	Brazil	Brazil
EPI_ISL_456095	2020-04-13	Brazil	Brazil
EPI_ISL_458138	2020-04-03	Brazil	Brazil
EPI_ISL_445349	2020-04-01	Chile	Chile
EPI_ISL_456092	2020-04-10	Brazil	Brazil
EPI_ISL_456101	2020-04-15	Brazil	Brazil
EPI_ISL_456087	2020-04-08	Brazil	Brazil
EPI_ISL_430815	2020-04-18	Argentina	Argentina
EPI_ISL_430814	2020-04-17	Argentina	Argentina
EPI_ISL_430817	2020-04-18	Argentina	Argentina
EPI_ISL_445373	2020-04-03	Chile	Chile
EPI_ISL_456082	2020-04-02	Brazil	Brazil
EPI_ISL_456096	2020-04-13	Brazil	Brazil
EPI_ISL_456102	2020-04-16	Brazil	Brazil
EPI_ISL_445369	2020-04-06	Chile	Chile
EPI_ISL_456077	2020-03-25	Brazil	Brazil
EPI_ISL_427297	2020-03-23	Brazil	Brazil
EPI_ISL_456100	2020-04-15	Brazil	Brazil
EPI_ISL_457953	2020-03-23	Uruguay	Uruguay
EPI_ISL_437268	2020-03-28	Germany	Germany
EPI_ISL_428887	2020-03-22	Russia	Russia
EPI_ISL_428889	2020-03-22	Russia	Russia
EPI_ISL_451186	2020-03-27	Uganda	Uganda
EPI_ISL_451189	2020-03-30	Uganda	Uganda
EPI_ISL_461720	2020-05-05	United Kingdom	UnitedKingdom
EPI_ISL_451190	2020-03-30	Uganda	Uganda
EPI_ISL_451192	2020-03-30	Uganda	Uganda
EPI_ISL_418389	2020-03-13	Finland	Finland
EPI_ISL_451647	2020-04-23	Poland	Poland
EPI_ISL_451654	2020-05-04	Poland	Poland
EPI_ISL_450746	2020-05-08	Poland	Poland
EPI_ISL_421275	2020-03-18	Russia	Russia
EPI_ISL_430809	2020-04-04	Argentina	Argentina
EPI_ISL_430808	2020-04-03	Argentina	Argentina
EPI_ISL_457963	2020-03-28	Uruguay	Uruguay
EPI_ISL_436686	2020-03-27	South Africa	SouthAfrica
EPI_ISL_428910	2020-03-31	Russia	Russia
EPI_ISL_437939	2020-04-06	Austria	Austria
EPI_ISL_430811	2020-04-11	Argentina	UnitedKingdom
EPI_ISL_430812	2020-04-11	Argentina	Argentina
EPI_ISL_455961	2020-05-08	Belgium	Belgium
EPI_ISL_431012	2020-04-07	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_445350	2020-04-01	Chile	Chile
EPI_ISL_445374	2020-04-04	Chile	Chile
EPI_ISL_445375	2020-04-04	Chile	Chile
EPI_ISL_451650	2020-04-27	Poland	Poland
EPI_ISL_451649	2020-04-27	Poland	Poland
EPI_ISL_456754	2020-05-21	United Kingdom	UnitedKingdom
EPI_ISL_451644	2020-05-02	Poland	Poland
EPI_ISL_462273	2020-05-07	Belgium	Belgium
EPI_ISL_462274	2020-05-07	Belgium	Belgium
EPI_ISL_451645	2020-05-02	Poland	Poland
EPI_ISL_420393	2020-03-24	Belgium	Belgium
EPI_ISL_462272	2020-05-07	Belgium	Belgium
EPI_ISL_451648	2020-04-26	Poland	Poland
EPI_ISL_420849	2020-03-28	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_451968	2020-03-18	Russia	Russia
EPI_ISL_445251	2020-03-10	Chile	Chile
EPI_ISL_435313	2020-03-13	Vietnam	Vietnam
EPI_ISL_413023	2020-02-29	Switzerland	Italy
EPI_ISL_430818	2020-04-19	Argentina	Argentina
EPI_ISL_459980	2020-04-19	Morocco	Morocco
EPI_ISL_458150	2020-05-15	Morocco	Morocco
EPI_ISL_435409	2020-03-25	Hungary	Hungary
EPI_ISL_457505	2020-05-06	United Kingdom	UnitedKingdom
EPI_ISL_454524	2020-04-20	India	India
EPI_ISL_458056	2020-05-13	India	India
EPI_ISL_430001	2020-03-17	Jordan	Jordan
EPI_ISL_464007	2020-04-12	Canada	Canada
EPI_ISL_460834	2020-04-23	Netherlands	Netherlands
EPI_ISL_460841	2020-05-22	Netherlands	Netherlands
EPI_ISL_460923	2020-05-26	Netherlands	Netherlands
EPI_ISL_438965	2020-04-14	Japan	Japan
EPI_ISL_435411	2020-03-27	Hungary	Hungary
EPI_ISL_435132	2020-03-15	United Arab Emirates	UnitedArabEmirates
EPI_ISL_466891	2020-04-22	Germany	Germany
EPI_ISL_466901	2020-04-30	Germany	Germany
EPI_ISL_438969	2020-04-22	Japan	Japan
EPI_ISL_438951	2020-04-06	Japan	Japan
EPI_ISL_438953	2020-04-06	Japan	Japan
EPI_ISL_438947	2020-04-06	Japan	Japan
EPI_ISL_438948	2020-04-06	Japan	Japan
EPI_ISL_438958	2020-04-10	Japan	Japan
EPI_ISL_438952	2020-04-06	Japan	Japan
EPI_ISL_438959	2020-04-10	Japan	Japan
EPI_ISL_438949	2020-04-06	Japan	Japan
EPI_ISL_438955	2020-04-08	Japan	Japan
EPI_ISL_437601	2020-04-06	Japan	Japan
EPI_ISL_438967	2020-04-16	Japan	Japan
EPI_ISL_447443	2020-03-30	Israel	Israel
EPI_ISL_438971	2020-04-24	Japan	Japan
EPI_ISL_435419	2020-03-20	Hungary	Hungary
EPI_ISL_467012	2020-05-08	Switzerland	Switzerland
EPI_ISL_438956	2020-04-09	Japan	Japan
EPI_ISL_438970	2020-03-25	Japan	Japan
EPI_ISL_451885	2020-04-06	Switzerland	Switzerland
EPI_ISL_416036	2020-03-05	Brazil	Italy
EPI_ISL_458140	2020-04-07	Brazil	Brazil
EPI_ISL_458147	2020-04-24	Brazil	Brazil
EPI_ISL_458141	2020-04-26	Brazil	Brazil
EPI_ISL_460081	2020-02-24	Italy	Italy
EPI_ISL_437932	2020-02-24	Austria	Austria
EPI_ISL_460089	2020-02-26	Italy	Italy
EPI_ISL_419689	2020-02-27	Spain	Spain
EPI_ISL_428895	2020-03-24	Russia	Russia
EPI_ISL_427308	2020-03-24	Russia	Russia
EPI_ISL_456238	2020-03-24	New Zealand	NewZealand
EPI_ISL_426772	2020-03-24	Australia	Australia
EPI_ISL_412972	2020-02-27	Mexico	Italy
EPI_ISL_417922	2020-02-28	Italy	Italy
EPI_ISL_451663	2020-05-05	Poland	Poland
EPI_ISL_462480	2020-05-13	Poland	Poland
EPI_ISL_437094	2020-03-23	Latvia	Latvia
EPI_ISL_450522	2020-04-28	Latvia	Latvia
EPI_ISL_450521	2020-04-28	Latvia	Latvia
EPI_ISL_450520	2020-04-28	Latvia	Latvia
EPI_ISL_427301	2020-03-11	Brazil	Brazil
EPI_ISL_455701	2020-03-23	Vietnam	Vietnam
EPI_ISL_429235	2020-03-24	Italy	Italy
EPI_ISL_430797	2020-03-27	Argentina	Mexico
EPI_ISL_430805	2020-04-01	Argentina	Argentina
EPI_ISL_415129	2020-02-29	United Kingdom	UnitedKingdom
EPI_ISL_413022	2020-02-29	Switzerland	Italy
EPI_ISL_451986	2020-04-07	Poland	Poland
EPI_ISL_455443	2020-04-01	Poland	Poland
EPI_ISL_451980	2020-04-02	Poland	Poland
EPI_ISL_451971	2020-04-01	Poland	Poland
EPI_ISL_451982	2020-03-29	Poland	Poland
EPI_ISL_451975	2020-03-31	Poland	Poland
EPI_ISL_429993	2020-03-16	Jordan	Jordan
EPI_ISL_450248	2020-04-21	Russia	Russia
EPI_ISL_450250	2020-04-21	Russia	Russia
EPI_ISL_457702	2020-04-12	Oman	Oman
EPI_ISL_455707	2020-04-02	Vietnam	Vietnam
EPI_ISL_459962	2020-04-01	Germany	Germany
EPI_ISL_451541	2020-04-02	Australia	Australia
EPI_ISL_455106	2020-05-11	Sweden	Sweden
EPI_ISL_436729	2020-04-27	Italy	Italy
EPI_ISL_434954	2020-03-29	USA	USA
EPI_ISL_466693	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_426359	2020-03-17	Czech Republic	CzechRepublic
EPI_ISL_418257	2020-03-17	Italy	Italy
EPI_ISL_445317	2020-03-17	Chile	Chile
EPI_ISL_419304	2020-03-17	Japan	Egypt
EPI_ISL_454064	2020-03-17	Portugal	Portugal
EPI_ISL_429994	2020-03-17	Jordan	Jordan
EPI_ISL_429999	2020-03-17	Jordan	Jordan
EPI_ISL_422416	2020-03-18	Taiwan	Spain
EPI_ISL_430004	2020-03-17	Jordan	Jordan
EPI_ISL_429169	2020-03-17	Thailand	Thailand
EPI_ISL_462096	2020-05-23	Bangladesh	Bangladesh
EPI_ISL_445214	2020-04-28	Bangladesh	Bangladesh
EPI_ISL_447904	2020-05-11	Bangladesh	Bangladesh
EPI_ISL_466687	2020-05-26	Bangladesh	Bangladesh
EPI_ISL_466694	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_462095	2020-05-23	Bangladesh	Bangladesh
EPI_ISL_464161	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_456619	2020-05-19	Australia	Australia
EPI_ISL_456617	2020-05-19	Australia	Australia
EPI_ISL_462094	2020-05-23	Bangladesh	Bangladesh
EPI_ISL_466626	2020-05-07	Bangladesh	Bangladesh
EPI_ISL_466628	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_464165	2020-05-10	Bangladesh	Bangladesh
EPI_ISL_465164	2020-05-10	Bangladesh	Bangladesh
EPI_ISL_466636	2020-05-10	Bangladesh	Bangladesh
EPI_ISL_455459	2020-05-21	Bangladesh	Bangladesh
EPI_ISL_464164	2020-05-26	Bangladesh	Bangladesh
EPI_ISL_437912	2020-04-18	Bangladesh	Bangladesh
EPI_ISL_466645	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_462091	2020-05-23	Bangladesh	Bangladesh
EPI_ISL_466650	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_466649	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_466644	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_462092	2020-05-23	Bangladesh	Bangladesh
EPI_ISL_466691	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_466689	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_466690	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_437902	2020-03-14	Greece	Greece
EPI_ISL_419311	2020-03-13	Japan	Japan
EPI_ISL_462464	2020-03-25	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_435310	2020-03-09	Vietnam	Vietnam
EPI_ISL_461230	2020-04-23	Netherlands	Netherlands
EPI_ISL_429723	2020-03-22	Luxembourg	Luxembourg
EPI_ISL_447804	2020-04-04	Colombia	Colombia
EPI_ISL_435148	2020-04-08	Italy	Italy
EPI_ISL_435151	2020-04-08	Italy	Italy
EPI_ISL_435152	2020-04-09	Italy	Italy
EPI_ISL_435150	2020-04-08	Italy	Italy
EPI_ISL_442049	2020-04-06	United Kingdom	UnitedKingdom
EPI_ISL_455697	2020-03-22	Vietnam	Vietnam
EPI_ISL_454472	2020-03-07	Sweden	Sweden
EPI_ISL_466627	2020-06-01	Bangladesh	Bangladesh
EPI_ISL_419875	2020-03-18	Australia	Australia
EPI_ISL_425229	2020-03-19	Czech Republic	CzechRepublic
EPI_ISL_426889	2020-04-02	Czech Republic	CzechRepublic
EPI_ISL_437096	2020-03-23	Latvia	Latvia
EPI_ISL_437262	2020-03-22	Germany	Germany
EPI_ISL_424485	2020-03-20	Iceland	Iceland
EPI_ISL_452043	2020-04-14	Denmark	Denmark
EPI_ISL_426894	2020-03-27	Czech Republic	CzechRepublic
EPI_ISL_426896	2020-03-28	Czech Republic	CzechRepublic
EPI_ISL_426897	2020-03-29	Czech Republic	CzechRepublic
EPI_ISL_452139	2020-02-28	Mexico	Italy
EPI_ISL_454753	2020-02-28	Netherlands	Netherlands
EPI_ISL_462390	2020-03-21	Singapore	Singapore
EPI_ISL_421477	2020-03-21	Portugal	Portugal
EPI_ISL_435143	2020-03-18	United Arab Emirates	UnitedArabEmirates
EPI_ISL_459966	2020-03-15	Morocco	Morocco
EPI_ISL_448068	2020-05-05	United Kingdom	UnitedKingdom
EPI_ISL_437898	2020-03-28	Greece	Greece
EPI_ISL_426287	2020-03-30	Latvia	Latvia
EPI_ISL_426286	2020-03-30	Latvia	Latvia
EPI_ISL_454130	2020-03-21	Portugal	Portugal
EPI_ISL_459965	2020-03-03	Morocco	Morocco
EPI_ISL_416430	2020-03-06	Vietnam	Vietnam
EPI_ISL_416431	2020-03-06	Vietnam	Vietnam
EPI_ISL_447748	2020-03-29	Colombia	Colombia
EPI_ISL_454342	2020-03-18	Portugal	Portugal
EPI_ISL_424974	2020-03-18	Taiwan	Taiwan
EPI_ISL_435312	2020-03-10	Vietnam	Vietnam
