strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_421752,Luxembourg,Austria,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,France,France,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_438056,Austria,Austria,Netherlands,Norway,Switzerland,Austria,Austria,Netherlands,BosniaandHerzegovina,Netherlands,Austria,Austria
EPI_ISL_451877,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Belgium,India,Switzerland
EPI_ISL_420611,France,Switzerland,Latvia,France,Switzerland,SouthAfrica,France,Switzerland,France,Switzerland,France,France
EPI_ISL_417691,Italy,Russia,Switzerland,Luxembourg,Iceland,BosniaandHerzegovina,NewZealand,Iceland,Italy,Switzerland,Netherlands,Italy
EPI_ISL_428908,Russia,Russia,Russia,Russia,Russia,Spain,Hungary,Russia,Russia,Russia,Russia,Spain
EPI_ISL_462473,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_451728,Switzerland,BosniaandHerzegovina,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,BosniaandHerzegovina,Luxembourg,Switzerland
EPI_ISL_457985,Oman,BosniaandHerzegovina,Oman,DemocraticRepublicoftheCongo,Oman,Oman,Sweden,Oman,Oman,Oman,Uruguay,France
EPI_ISL_462467,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,Denmark,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
EPI_ISL_462452,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina,BosniaandHerzegovina
