strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_422685,Netherlands,Jordan,UnitedKingdom,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,NewZealand,Jordan
EPI_ISL_430015,Jordan,Jordan,UnitedKingdom,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_429997,Jordan,Jordan,USA,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_430014,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_450186,Jordan,Jordan,UnitedKingdom,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
EPI_ISL_456220,NewZealand,NewZealand,UnitedKingdom,Jordan,NewZealand,NewZealand,UnitedKingdom,UnitedKingdom,Japan,NewZealand,UnitedKingdom,NewZealand
EPI_ISL_445351,Chile,NewZealand,UnitedKingdom,Greece,UnitedKingdom,Chile,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_464178,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Taiwan,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_414006,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_415128,Brazil,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom
EPI_ISL_425702,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_456173,NewZealand,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,NewZealand,UnitedKingdom
EPI_ISL_435698,Singapore,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Jordan,UnitedKingdom
EPI_ISL_437906,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
EPI_ISL_437892,Greece,Greece,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece
EPI_ISL_434462,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
EPI_ISL_462422,Singapore,Greece,UnitedKingdom,Nigeria,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Nigeria,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_437910,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece,Greece
EPI_ISL_434516,Jordan,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece,Jordan,UnitedKingdom
EPI_ISL_434466,Greece,Greece,Greece,Greece,UnitedKingdom,Greece,UnitedKingdom,Nigeria,Greece,Greece,Greece,Greece
EPI_ISL_455412,Nigeria,Greece,UnitedKingdom,Nigeria,Nigeria,Nigeria,Greece,Nigeria,Nigeria,Greece,Greece,Nigeria
EPI_ISL_455413,Nigeria,Nigeria,UnitedKingdom,Nigeria,Nigeria,Nigeria,Nigeria,Greece,Nigeria,Nigeria,Nigeria,UnitedKingdom
EPI_ISL_455431,Nigeria,Nigeria,UnitedKingdom,Nigeria,Nigeria,Nigeria,Nigeria,UnitedKingdom,Nigeria,Nigeria,Nigeria,Nigeria
EPI_ISL_461968,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,UnitedKingdom,Greece,UnitedKingdom,UnitedKingdom,Greece,Greece,Greece,UnitedKingdom
EPI_ISL_434481,Greece,Greece,UnitedKingdom,Greece,Greece,Greece,UnitedKingdom,Greece,Greece,Greece,Greece,Greece
EPI_ISL_402128,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_403930,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402123,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402121,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_434534,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_408669,Japan,China,UnitedArabEmirates,China,China,China,China,China,China,China,China,China
EPI_ISL_406798,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402130,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402127,China,China,Australia,China,China,China,China,China,China,China,China,China
EPI_ISL_412898,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_457733,Taiwan,China,Taiwan,Taiwan,China,China,China,China,China,China,China,China
EPI_ISL_450196,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437618,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_406034,China,Taiwan,China,China,China,China,USA,USA,China,China,USA,USA
EPI_ISL_428489,Taiwan,Taiwan,Taiwan,Taiwan,Japan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_428488,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_455793,Malaysia,Malaysia,China,Malaysia,Malaysia,China,China,China,Malaysia,China,China,Malaysia
EPI_ISL_445329,Chile,Malaysia,China,Malaysia,Malaysia,Chile,USA,Malaysia,Malaysia,Japan,Singapore,Malaysia
EPI_ISL_430441,Malaysia,Malaysia,Taiwan,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Singapore,Malaysia
EPI_ISL_438972,Japan,Japan,Japan,Malaysia,Japan,China,China,Japan,Japan,Japan,Japan,Japan
EPI_ISL_420890,Japan,Japan,Japan,Malaysia,China,Chile,Japan,Japan,Malaysia,Japan,Japan,Japan
EPI_ISL_437883,Greece,Malaysia,Greece,Sweden,Australia,Greece,Greece,HongKong,Denmark,Japan,Greece,China
EPI_ISL_430439,Malaysia,Malaysia,Japan,Malaysia,Japan,China,China,Malaysia,Malaysia,Japan,Japan,Malaysia
EPI_ISL_447767,Colombia,Malaysia,Australia,China,Colombia,China,Taiwan,Sweden,Netherlands,Japan,China,China
EPI_ISL_413559,USA,Malaysia,USA,USA,USA,UnitedKingdom,USA,USA,China,USA,USA,USA
EPI_ISL_430440,Malaysia,Malaysia,Thailand,Malaysia,Japan,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia
EPI_ISL_424577,Iceland,Iceland,Iceland,China,UnitedKingdom,China,Japan,Iceland,China,China,Taiwan,China
EPI_ISL_422053,UnitedKingdom,UnitedKingdom,NewZealand,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,NewZealand,Malaysia,UnitedKingdom,NewZealand,UnitedKingdom
EPI_ISL_456393,NewZealand,UnitedKingdom,NewZealand,NewZealand,UnitedKingdom,UnitedKingdom,UnitedKingdom,NewZealand,NewZealand,UnitedKingdom,NewZealand,Malaysia
EPI_ISL_416570,Japan,Japan,Japan,Japan,China,Japan,Japan,Japan,Japan,China,Japan,Japan
EPI_ISL_421235,China,Japan,China,Japan,China,China,China,Japan,Japan,China,Japan,Japan
EPI_ISL_416587,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416598,Japan,Japan,Taiwan,Singapore,Singapore,Japan,Japan,Japan,Japan,Singapore,UnitedKingdom,Japan
EPI_ISL_413459,Japan,Japan,Japan,Japan,China,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_412969,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_419832,Australia,Japan,Japan,Australia,Australia,Japan,Japan,Japan,Australia,Australia,Japan,Australia
EPI_ISL_416578,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416566,Japan,Japan,Japan,Japan,UnitedKingdom,Japan,Japan,Japan,Japan,China,Japan,Japan
EPI_ISL_418994,Singapore,Japan,Norway,Australia,China,Japan,Japan,Singapore,SouthKorea,Japan,HongKong,Japan
EPI_ISL_416614,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_416596,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
EPI_ISL_429814,Canada,China,Canada,Germany,Germany,China,Germany,Germany,Taiwan,Germany,Germany,Germany
EPI_ISL_407987,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_422429,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,China,Singapore,Singapore,Singapore
EPI_ISL_402132,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_412899,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_450489,China,China,China,China,China,Malaysia,China,China,China,China,China,China
EPI_ISL_408431,France,Finland,HongKong,China,China,Thailand,Singapore,China,Malaysia,Japan,Thailand,China
EPI_ISL_407079,China,Finland,USA,China,Finland,Thailand,SouthKorea,Taiwan,Taiwan,Singapore,China,China
EPI_ISL_430443,Malaysia,China,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,China,Malaysia
EPI_ISL_417030,Australia,China,China,China,China,China,China,China,China,China,Japan,Thailand
EPI_ISL_416350,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_407073,China,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_407071,China,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom
EPI_ISL_416427,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_408668,China,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
EPI_ISL_416330,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_413856,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_412979,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_416333,China,China,China,China,China,China,China,China,Taiwan,China,Singapore,China
EPI_ISL_410535,China,China,China,Australia,India,Australia,Australia,China,Singapore,Australia,Singapore,China
EPI_ISL_437616,Thailand,China,China,Thailand,Thailand,China,China,China,Malaysia,China,Japan,Thailand
EPI_ISL_418998,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,UnitedKingdom,Singapore,Taiwan,Singapore,Singapore,China
EPI_ISL_419000,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,China
EPI_ISL_445267,Chile,Chile,Chile,Spain,Chile,Chile,Spain,Spain,China,Chile,Chile,China
EPI_ISL_447757,Colombia,Spain,China,Spain,Spain,Chile,China,Spain,Colombia,China,Chile,China
EPI_ISL_447520,Spain,Spain,Spain,Spain,Singapore,Spain,Spain,Spain,Spain,China,Spain,China
EPI_ISL_447918,Thailand,China,China,China,China,China,China,China,China,China,Japan,China
EPI_ISL_451360,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_455314,Spain,China,Spain,China,China,China,Spain,USA,Spain,China,China,HongKong
EPI_ISL_455461,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_412028,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434571,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,USA,HongKong,HongKong,HongKong,HongKong
EPI_ISL_410045,China,China,China,China,China,USA,USA,USA,China,China,USA,USA
EPI_ISL_463740,UnitedArabEmirates,Taiwan,China,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,USA
EPI_ISL_464093,Taiwan,Taiwan,China,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,USA
EPI_ISL_421241,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_425118,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426163,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_412869,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_416885,Malaysia,Malaysia,China,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia,Malaysia
EPI_ISL_455790,Malaysia,Malaysia,China,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia,Malaysia
EPI_ISL_447912,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447913,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437620,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447911,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437615,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437613,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437614,Thailand,Thailand,Thailand,Thailand,China,Thailand,Thailand,Thailand,China,Thailand,Thailand,Thailand
EPI_ISL_437608,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,China,Thailand,Thailand
EPI_ISL_437612,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437609,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455624,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447020,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455585,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447920,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455938,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_429165,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_429166,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455606,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455604,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_447026,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_455584,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_412871,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_407193,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426181,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_430738,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426180,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_426171,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_424357,China,China,SouthKorea,China,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413519,China,China,SouthKorea,China,SouthKorea,China,SouthKorea,China,SouthKorea,SouthKorea,SouthKorea,China
EPI_ISL_412870,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413514,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413513,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413516,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,Singapore,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_427812,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea,SouthKorea
EPI_ISL_413523,China,China,HongKong,HongKong,China,HongKong,China,China,China,HongKong,HongKong,HongKong
EPI_ISL_434567,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,Singapore,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434568,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,USA,HongKong,HongKong,HongKong,HongKong
EPI_ISL_451365,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_435137,UnitedArabEmirates,China,China,China,Thailand,China,China,HongKong,China,China,China,China
EPI_ISL_450412,HongKong,HongKong,China,China,China,HongKong,China,HongKong,China,China,HongKong,HongKong
EPI_ISL_419733,Australia,Australia,China,China,Australia,China,China,China,Singapore,Singapore,China,Singapore
EPI_ISL_437760,SaudiArabia,Singapore,SaudiArabia,SaudiArabia,Australia,SaudiArabia,China,China,SaudiArabia,SaudiArabia,China,SaudiArabia
EPI_ISL_462433,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,China,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_419834,Australia,Singapore,Australia,Spain,Australia,Uruguay,Australia,Australia,Singapore,China,Spain,China
EPI_ISL_418996,Singapore,Singapore,Singapore,Singapore,China,Singapore,Singapore,China,Singapore,Singapore,Singapore,Singapore
EPI_ISL_462306,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_428822,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_418995,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_414378,Singapore,Singapore,Singapore,Singapore,China,China,Singapore,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_414623,France,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Kazakhstan,Spain,Kazakhstan
EPI_ISL_419687,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Kazakhstan,Spain,Spain
EPI_ISL_455336,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_455351,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_416485,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_416477,Georgia,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_416484,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_425178,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_452692,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_436361,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_452701,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_420123,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_420117,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_452367,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_452675,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain
EPI_ISL_426856,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_451140,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_452559,Spain,Kazakhstan,Kazakhstan,Spain,Spain,Spain,Spain,Kazakhstan,Kazakhstan,Spain,Spain,Kazakhstan
EPI_ISL_454520,Kazakhstan,Kazakhstan,Kazakhstan,Spain,Kazakhstan,Spain,Spain,Kazakhstan,Kazakhstan,Kazakhstan,Spain,Kazakhstan
EPI_ISL_418216,Senegal,Kazakhstan,Spain,Kazakhstan,Spain,Kazakhstan,Spain,Kazakhstan,Kazakhstan,Spain,Kazakhstan,Spain
EPI_ISL_454571,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_454572,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_454518,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_454499,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
